# Categories:
# 1 = Music & Audio
# 2 = Makers & To-Makes
# 3 = Nature & Discoveries
# 4 = Scientific Expositions
# 5 = Engineering & Technology
# 6 = Mathematics & Puzzles
# 7 = Visual Media & Critiques
# 8 = Entertainers & Comedy
# 9 = Philosophies & Politics
# 10 = Outdoor Sports & Climbing
# 11 = Institutes & Organizations
# 12 = Uncategorized & Uncategorizable
Channel Url, Channel Title, Category Id
http://www.youtube.com/channel/UC9rHXgUE9pikzYcGrAujMXQ, Santa Fe Institute, 11
http://www.youtube.com/channel/UCA1shkhjIY_QiDdYfEYDqew, Peacockspiderman, 3
http://www.youtube.com/channel/UCAAbACtY1antXTZG04EVJKg, Totally Glueless, 2
http://www.youtube.com/channel/UCAL3JXZSzSm8AlZyD3nQdBA, Primitive Technology, 2
http://www.youtube.com/channel/UCAP57cF-FSjJKzzXg7ntPlQ, CRITERION, 7
http://www.youtube.com/channel/UCAQpSHsgUcNt6uCOjpgD8kw, Pecos Hank, 3
http://www.youtube.com/channel/UCAbAsEZ-0LccTNbl8r-3EaQ, Scott Yu-Jan, 2
http://www.youtube.com/channel/UCAtf-avZj2vWLnYtCchZp8A, Robbie Phillips, 10
http://www.youtube.com/channel/UCAycaw3D68A7mK6ChdypW0Q, 温铁军, 9
http://www.youtube.com/channel/UCB-pG-YPZmRHFQBNwk0qeDA, Vital Audio, 1
http://www.youtube.com/channel/UCBAdGeil51Iw4y29Sh9Y7hA, 稚晖君, 2
https://space.bilibili.com/505274392, 飞羽社, 5
http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A, Tom Scott, 4
http://www.youtube.com/channel/UCBbnbBWJtwsf0jLGUwX5Q3g, Journey to the Microcosmos, 3
http://www.youtube.com/channel/UCBuZ6okBbRvosC0S67WI2gg, The Living Histories Series, 11
http://www.youtube.com/channel/UCC9X5bLhdMeLvPxlMb-GShw, 大问题Dialectic, 9
http://www.youtube.com/channel/UCCMvR6IxZKysfUfX_6BrHzg, NoseFluter, 1
http://www.youtube.com/channel/UCCWeRTgd79JL0ilH0ZywSJA, AlphaPhoenix, 4
http://www.youtube.com/channel/UCCaOLUPbmS-04WkN7SEZytA, Under Studio, 8
http://www.youtube.com/channel/UCChNhjW49smKB3zssiUjENg, Emily Hopkins, 1
http://www.youtube.com/channel/UCCoAJ5JYKYTMubpTIsWi70w, David Hilowitz Music, 1
http://www.youtube.com/channel/UCDBrVr0ttWpoRY-_yZajp2Q, alyankovic, 8
http://www.youtube.com/channel/UCDFD8RdIL2FxNfkKkus5RSQ, ibi, 1
http://www.youtube.com/channel/UCDGdXbJQ7-cdwOLcXcCR-gQ, Jeff Kerr, 2
http://www.youtube.com/channel/UCDVpdm607KDgCv72FUA8Kwg, cassiopeiaproject, 4
http://www.youtube.com/channel/UCDe08Fs0s0YKJuk5h45csAQ, Polyphia, 1
http://www.youtube.com/channel/UCDe255jOP5vCjSSMSqrpndQ, GuanSchool观学院, 9
